,Driver_ID,Age,Gender,City,Education_Level,Income,Date_of_joining,Last_Working_Date,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Tenure,Join_Month,Leave_Month,Has_left,Monthly_Income_Increase,Quarterly_Rating_Increase
0,1,28.0,Male,C23,2,57387,2018-12-24,2019-03-11,1,1,1715580,2,77.0,2018-12,2019-03,Left,0,0
1,2,31.0,Male,C7,2,67016,2020-11-06,,2,2,0,1,,2020-11,,Active,0,0
2,4,43.0,Male,C13,2,65603,2019-12-07,2020-04-27,2,2,350000,1,142.0,2019-12,2020-04,Left,0,0
3,5,29.0,Male,C9,0,46368,2019-01-09,2019-03-07,1,1,120360,1,57.0,2019-01,2019-03,Left,0,0
4,6,31.0,Female,C11,1,78728,2020-07-31,,3,3,1265000,2,,2020-07,,Active,0,1
5,8,34.0,Male,C2,0,70656,2020-09-19,2020-11-15,3,3,0,1,57.0,2020-09,2020-11,Left,0,0
6,11,28.0,Female,C19,2,42172,2020-12-07,,1,1,0,1,,2020-12,,Active,0,0
7,12,35.0,Male,C23,2,28116,2019-06-29,2019-12-21,1,1,2607180,1,175.0,2019-06,2019-12,Left,0,0
8,13,31.0,Male,C19,2,119227,2015-05-28,2020-11-25,1,4,10213040,1,2008.0,2015-05,2020-11,Left,0,0
9,14,39.0,Female,C26,0,19734,2020-10-16,,3,3,0,1,,2020-10,,Active,0,0
10,16,30.0,Female,C23,0,52963,2018-11-30,2019-02-22,2,2,346800,1,84.0,2018-11,2019-02,Left,0,0
11,17,43.0,Male,C20,2,51099,2018-03-06,2019-07-20,1,1,1017640,1,501.0,2018-03,2019-07,Left,0,0
12,18,27.0,Female,C17,1,31631,2019-01-09,2019-04-30,1,1,0,1,111.0,2019-01,2019-04,Left,0,0
13,20,34.668434595389385,Female,C19,0,40342,2019-10-25,2020-03-01,3,3,0,1,128.0,2019-10,2020-03,Left,0,0
14,21,34.0,Female,C29,1,22755,2018-05-12,2020-02-17,1,1,6962550,1,646.0,2018-05,2020-02,Left,0,0
15,22,41.0,Male,C10,2,31224,2018-05-25,2020-04-26,1,1,7539490,1,702.0,2018-05,2020-04,Left,0,0
16,24,34.668434595389385,Male,C24,2,76308,2018-05-25,2019-10-27,1,2,4101720,2,520.0,2018-05,2019-10,Left,0,0
17,25,31.0,Male,C24,1,102077,2017-10-30,,1,3,36351110,4,,2017-10,,Active,0,1
18,26,43.0,Male,C14,2,132577,2018-05-07,,1,4,69867900,2,,2018-05,,Active,1,0
19,29,30.0,Male,C13,2,30312,2018-05-20,2019-05-23,1,1,1273170,1,368.0,2018-05,2019-05,Left,0,0
20,30,31.0,Male,C6,1,69457,2019-10-03,2019-11-29,3,3,0,1,57.0,2019-10,2019-11,Left,0,0
21,31,32.0,Female,C28,2,65189,2020-07-04,,3,3,950940,2,,2020-07,,Active,0,1
22,34,28.0,Female,C14,1,65813,2020-07-31,2020-11-14,2,2,476010,1,106.0,2020-07,2020-11,Left,0,0
23,35,32.0,Male,C5,1,68070,2020-03-07,2020-05-05,3,3,300000,1,59.0,2020-03,2020-05,Left,0,0
24,36,41.0,Female,C18,1,32865,2019-07-01,2020-07-29,2,2,4277730,2,394.0,2019-07,2020-07,Left,0,0
25,37,33.0,Female,C14,1,57375,2020-05-16,2020-10-16,2,2,650020,1,153.0,2020-05,2020-10,Left,0,0
26,38,22.0,Male,C27,0,13427,2019-12-06,2020-03-15,1,1,0,1,100.0,2019-12,2020-03,Left,0,0
27,39,32.0,Male,C26,0,72888,2020-08-08,,2,2,2422230,2,,2020-08,,Active,0,0
28,40,34.668434595389385,Male,C15,0,59182,2019-11-08,2020-02-14,2,2,0,1,98.0,2019-11,2020-02,Left,0,0
29,41,35.0,Male,C29,2,92372,2019-07-04,,4,4,21755910,2,,2019-07,,Active,0,1
30,42,44.0,Female,C28,0,45988,2018-10-20,2019-05-16,2,2,994690,1,208.0,2018-10,2019-05,Left,0,0
31,43,27.0,Male,C15,0,12906,2018-07-13,2019-02-20,1,1,359890,1,222.0,2018-07,2019-02,Left,0,0
